	gene_id	case_transcript	control_transcript
3368	ACAA2	ENST00000285093.14	ENST00000587994.5
3370	LSM14A	ENST00000544216.7	ENST00000433627.9
3372	FBLN1	ENST00000262722.11	ENST00000327858.10
3374	CSGALNACT1	ENST00000522854.5	ENST00000332246.10
3377	CMA1	ENST00000206446.4	ENST00000250378.7
3378	MAP1LC3B	ENST00000565788.1	ENST00000268607.9
3379	SHMT1	ENST00000354098.7	ENST00000316694.7
3396	AUH	ENST00000303617.5	ENST00000375731.8
3412	CTIF	ENST00000382998.8	ENST00000256413.7
3417	SPG20	ENST00000438666.6	ENST00000494062.2
3427	ACSL4	ENST00000469796.6	ENST00000348502.10
3429	CLCN6	ENST00000376497.7	ENST00000346436.10
3438	C6orf89	ENST00000355190.7	ENST00000480824.6
3442	CLEC1A	ENST00000420265.2	ENST00000457018.6
3470	IL34	ENST00000288098.6	ENST00000429149.6
3493	CSRP2	ENST00000546966.5	ENST00000311083.9
3502	ABI3BP	ENST00000495063.5	ENST00000471714.5
3504	ZFP36L2	ENST00000620081.1	ENST00000282388.3
3505	C11orf63	ENST00000307257.10	ENST00000531316.1
3548	PEG3	ENST00000593695.5	ENST00000326441.13
3550	TBC1D23	ENST00000344949.9	ENST00000394144.8
3552	RP11-6N17.4	ENST00000577279.1	ENST00000582787.1
3553	PRICKLE2	ENST00000564377.5	ENST00000295902.10
3558	PHGDH	ENST00000369407.3	ENST00000369409.8
3605	RP11-983P16.4	ENST00000546793.1	ENST00000546566.5
3607	RP11-617F23.1	ENST00000558334.1	ENST00000620791.1
3608	KLF2	ENST00000592003.1	ENST00000248071.5
3609	AP1S2	ENST00000380291.5	ENST00000329235.6
3611	PLEKHM2	ENST00000375793.2	ENST00000375799.7
3616	HSD17B11	ENST00000507286.1	ENST00000358290.8
3733	MARCH7	ENST00000539065.5	ENST00000259050.8
3745	H6PD	ENST00000602477.1	ENST00000377403.6
3746	MYADM	ENST00000391771.1	ENST00000391770.8
3758	PLCD1	ENST00000463876.5	ENST00000334661.4
3759	AMIGO1	ENST00000369862.1	ENST00000369864.4
3760	F10	ENST00000409306.5	ENST00000375559.7
3764	STAC	ENST00000457375.6	ENST00000273183.7
3768	CCL21	ENST00000378792.1	ENST00000259607.6
3810	FGF7	ENST00000614567.4	ENST00000560270.1
3816	LONP2	ENST00000535754.5	ENST00000285737.8
3864	KCTD14	ENST00000612612.4	ENST00000353172.5
3869	PCNX	ENST00000439984.7	ENST00000304743.6
3870	APH1B	ENST00000380343.8	ENST00000261879.9
3876	CRY2	ENST00000417225.6	ENST00000616080.1
3878	LEPROT	ENST00000613538.1	ENST00000371065.8
3879	KLF11	ENST00000305883.5	ENST00000540845.5
3978	MALL	ENST00000427178.1	ENST00000272462.2
4023	SPATA18	ENST00000419395.6	ENST00000295213.8
